Airfoil,Angle of Attack (deg),C_L,C_D,C_M,C_L/C_D
naca0012,-10,-1.0808,0.01498,-0.0053,-72.14953271028037
naca0012,-8,-0.9102,0.01211,0.004,-75.16102394715112
naca0012,-6,-0.6939,0.00973,0.0041,-71.31551901336073
naca0012,-4,-0.4276,0.00728,-0.0061,-58.73626373626373
naca0012,-2,-0.2144,0.00581,-0.003,-36.901893287435456
naca0012,0,0.0,0.0054,-0.0,0.0
naca0012,2,0.2144,0.00581,0.003,36.901893287435456
naca0012,4,0.4277,0.00728,0.0061,58.75
naca0012,6,0.694,0.00973,-0.0041,71.3257965056526
naca0012,8,0.9101,0.01211,-0.004,75.15276630883568
naca0012,10,1.0809,0.01498,0.0053,72.1562082777036
naca0012,12,1.2453,0.01934,0.0134,64.38986556359876
naca0012,14,1.3502,0.02607,0.0267,51.791331031837366
naca0012,16,1.3853,0.04192,0.0302,33.0462786259542
naca0012,18,1.2686,0.0877,0.0083,14.465222348916761
naca0012,20,1.1154,0.1482,-0.0241,7.526315789473684
naca2412,-10,-0.9162,0.01536,-0.0434,-59.6484375
naca2412,-8,-0.6538,0.0118,-0.0538,-55.406779661016955
naca2412,-6,-0.4127,0.00935,-0.0577,-44.13903743315508
naca2412,-4,-0.197,0.0077,-0.0554,-25.584415584415584
naca2412,-2,0.0219,0.0066,-0.0539,3.318181818181818
naca2412,0,0.2372,0.00565,-0.052,41.982300884955755
naca2412,2,0.45,0.00578,-0.0482,77.85467128027682
naca2412,4,0.7148,0.00693,-0.0574,103.14574314574314
naca2412,6,0.902,0.00905,-0.0505,99.66850828729281
naca2412,8,1.0874,0.01234,-0.0445,88.11993517017828
naca2412,10,1.2672,0.01566,-0.0381,80.91954022988506
naca2412,12,1.4085,0.02001,-0.0264,70.38980509745127
naca2412,14,1.4899,0.02837,-0.0125,52.51674303842087
naca2412,16,1.5298,0.04408,-0.0071,34.705081669691474
naca2412,18,1.4707,0.07752,-0.0147,18.971878224974198
naca2412,20,1.3749,0.12228,-0.0331,11.24386653581943
naca2412,22,1.2914,0.17004,-0.0599,7.594683603857916
naca4412,-10,-0.6203,0.01569,-0.1077,-39.534735500318675
naca4412,-8,-0.4073,0.01195,-0.1068,-34.0836820083682
naca4412,-6,-0.1913,0.00945,-0.1053,-20.243386243386244
naca4412,-4,0.031,0.00801,-0.1046,3.8701622971285894
naca4412,-2,0.2535,0.00728,-0.104,34.82142857142857
naca4412,0,0.4741,0.0069,-0.1035,68.71014492753623
naca4412,2,0.6974,0.00627,-0.1033,111.22807017543859
naca4412,4,0.9135,0.00721,-0.1018,126.69902912621359
naca4412,6,1.125,0.00848,-0.0999,132.66509433962264
naca4412,8,1.3056,0.01175,-0.0933,111.11489361702128
naca4412,10,1.4351,0.01682,-0.0788,85.32104637336504
naca4412,12,1.5417,0.02288,-0.064,67.38199300699301
naca4412,14,1.6082,0.0337,-0.0516,47.72106824925816
naca4412,16,1.6248,0.05288,-0.0454,30.726172465960666
naca4412,18,1.5794,0.08401,-0.048,18.80014284013808
naca4412,20,1.527,0.11931,-0.0576,12.798591903444807
naca4412,22,1.4591,0.16027,-0.0768,9.104011979784115
naca4412,24,1.4248,0.19879,-0.1021,7.167362543387495
naca0015,-10,-1.1158,0.01439,0.001,-77.53995830437803
naca0015,-8,-0.9032,0.01173,0.0009,-76.99914748508098
naca0015,-6,-0.6425,0.00916,-0.0082,-70.14192139737992
naca0015,-4,-0.4329,0.00742,-0.0047,-58.34231805929919
naca0015,-2,-0.2179,0.00657,-0.002,-33.16590563165906
naca0015,0,0.0,0.00633,-0.0,0.0
naca0015,2,0.2179,0.00657,0.002,33.16590563165906
naca0015,4,0.433,0.00742,0.0047,58.35579514824798
naca0015,6,0.6426,0.00916,0.0082,70.1528384279476
naca0015,8,0.9034,0.01173,-0.0009,77.01619778346121
naca0015,10,1.1156,0.01439,-0.0009,77.5260597637248
naca0015,12,1.2433,0.01761,0.0152,70.60193072118115
naca0015,14,1.3555,0.02266,0.0288,59.81906443071492
naca0015,16,1.422,0.03407,0.0358,41.73759906075726
naca0015,18,1.4078,0.05948,0.0299,23.6684599865501
naca0015,20,1.2783,0.10623,0.0097,12.033323919796667
naca0015,22,1.1933,0.15083,-0.0143,7.911556056487437
naca0015,24,1.1548,0.19025,-0.0408,6.069908015768726
naca23012,-10,-0.9218,0.022,-0.0214,-41.9
naca23012,-8,-0.7838,0.01567,-0.0066,-50.01914486279515
naca23012,-6,-0.5122,0.01169,-0.0179,-43.81522668947818
naca23012,-4,-0.291,0.00924,-0.0163,-31.49350649350649
naca23012,-2,-0.0782,0.00842,-0.0129,-9.287410926365796
naca23012,0,0.122,0.00616,-0.0088,19.805194805194805
naca23012,2,0.3296,0.00689,-0.0041,47.83744557329463
naca23012,4,0.5874,0.00816,-0.0114,71.98529411764706
naca23012,6,0.8502,0.00934,-0.0208,91.02783725910065
naca23012,8,1.0353,0.01065,-0.0138,97.21126760563382
naca23012,10,1.2278,0.01235,-0.009,99.417004048583
naca23012,12,1.409,0.0155,-0.0041,90.90322580645162
naca23012,14,1.5325,0.02141,0.0076,71.57870154133583
naca23012,16,1.5757,0.03355,0.018,46.965722801788374
naca23012,18,1.4527,0.07659,0.002,18.96722809766288
naca23012,20,1.2402,0.14121,-0.0284,8.782664117272148
naca23012,22,1.1933,0.18213,-0.0528,6.5519134684016915
naca23012,24,1.1965,0.2147,-0.0761,5.572892408011178
